,Gender,Review,Rating
157,M,"this sharuk khan is Amazing,,Awesome! Briliant! im so happy for this. thanks mate.. i will hire again!",5.0
158,M,"max is a reliable freelancer, which allowed me to create a solid plugin for my business on wordpress. I highly recommend it to anyone who wants to find a collaborator that can make a difference.",5.0
159,M,Thanks for your effort.,4.9
160,M,"Competent.
Reliable.
Flexible.
Friendly.",5.0
161,,"Great Work, easy to deal with and met the brief 100%",5.0
162,,Excellent writer. Highly recommended.,4.4
163,,excllent work,5.0
164,,"Quite amazing!  I briefed this small job in at 9 am in the morning, and by 2 pm the job was done. I asked for 3 design modifications and these were all completed to my 100% satisfaction within an hour. The job was to take an existing logo we owned and up-grade/modify it. To anyone who has fears or misgivings about dealing with the Indian sub-continent, this company proved that one has nothing to fear.  All very positive!",4.4
165,M,"Best programmer on freelancer. I only want to work with him. He finished hardest jobs for me which noone from 2000 people here didnt know how to finish, even those who lie that have 7-8 years of expirance.",5.0
166,M,A quick and good worker. Understands the brief and provides good quality work. Will defiantly use again.,5.0
167,,muy bien y atenta,4.8
168,,Very friendly. Very helpful.,5.0
169,F,Nils is a fair and honest individual. Great communication and excellent work. Will hire again.,4.0
170,,Good work!,5.0
171,M,Sorted issues out very professionally,5.0
172,M,Easy to work with did a great job with logo..,3.6
173,,"The project was completed on time and for budget. Revisions were made with no problems.
The finished item was how I wanted it to look.
Will use again",5.0
174,M,Great work,5.0
175,,"Professional, flexible, expert and easy to work with!",5.0
176,M,Great video and excellent experience. Highly recommend!,5.0
177,,Good experience,5.0
178,,"Indeed a Very Responsible and Growing Freelancer. He is not only delivers outstanding work, but also  provide after work support which is a big point in working with him. Delivered my work within 2 hours with great quality.",5.0
179,M,Not the first project I worked with Sourav D. Delivering quality services on time and budget. Superb communication. Highly recommend!,5.0
180,M,Solve my issue in no time and he helpful,5.0
181,,Great Design and good quality,5.0
182,M,done it so quick will hire again!!,4.6
183,M,Nice person will work together again got work done on time,5.0
184,,Nice work done,5.0
185,M,Thank you for your great contribution!,5.0
186,,Great work as always,5.0
187,M,"Trabajar con Joathan ha sido una grata experiencia, es muy dedicado y responsable con los proyectos.",5.0
188,,Great advice! Sourabh is patient and knowledgeable. Highly recommended.,5.0
189,F,"Nicole provided a great quality work and much on time. She has great communication, understands the requirements and really knows what she is doing. Definitely recommended. Will hire her again",4.9
190,F,Great to work with! Would hire again,5.0
191,M,Eol quickly understood my requirements and performed my work professionally in a timely and qualitative manner. I will hire him again and will recommend to everyone else.,5.0
192,M,Thanks,5.0
193,M,An excellent professional. He helped me a lot.,5.0
194,M,"Great person to work with. Supplied exactly what I asked for, and completed the project within hours of accepting the job. Very high quality work.",5.0
195,F,always on time. great experience working with her.,5.0
196,,"Excellent work was done, timely project completion, very prompt with all steps we had mentioned, cooperative. Thank you",5.0
197,,Fantastic artist. Made any changes required. Would use again and again!,5.0
198,M,Great guy. we hire again!,2.8
199,,"Perfect job done by Jayant, thanks. Will work again for sure.",5.0
200,M,He understood and delivered what was [login to view URL] it took him more time than originally he had asked for.,1.0
201,F,"She did perfect, good details to requirements, and awesome result. will hire her again! :)",5.0
202,M,He is the best programmer I have ever seen. Thanks,5.0
203,F,"Great communication. Willing to make modifications. Great job. Use this designer if you want your job done right! 

Thanks",5.0
204,,Expert but lack of communication.,5.0
205,M,excellent freelancer,4.9
206,M,very fast and understandable freelancer .,5.0
207,M,The project is not completed according to the dispute,5.0
208,M,They were very helpful throughout. delivery just took longer than projected.,5.0
209,,After one bad experience with Freelancer now a great Job. Communication was perfect and Freelancer recognized what we expected.,4.8
210,F,"Having worked with many freelancers I have to say that Kundan M. Stands out. She more than anyone has the eagerness to get it done. She quickly grasped my idea, turned it around and worked tirelessly on edits. I am very happy with the final product which is a creative public service message in a meme format.",5.0
211,,"Many thanks, Chien!",5.0
212,F,"I have a great experience with Iuliia T. i would hire her again and highly recommend  to any one needs work to be done. Iuliia has excellent communication skills, she is an expert and delievrs great quality of work. She reads the description carefully i assume she did research on my business as she approached me with what i described, needed a little adjustment and she was brilliant seems she has tools and skills to make it. She was very kind on all the corespondence we had.
Thank you Iuliia T. will see you on my next project.
Stephanie",5.0
213,M,"Amazing as usual, already have him hired for a new job",5.0
214,M,Really goes the extra mile and provides plenty of great extra research that displays he understands my firm's needs,5.0
215,M,"Honest and fast worker. I will recommend him to everyone.

[23 April, 2018] Honest and fast worker. Highly recommended. Will work with him again and again.",4.4
216,M,"Ershad has given the contest his attention and submitted original work based on brief, he is accurate, fast and follows feedback, understands instructions and is willing to do go the extra mile to fulfill the client's needs. His files and layers are clean and organized. He has refined choices of color and graphic lines.  We will work with him again and recommend him strongly.",5.0
217,,"great work, thanks",5.0
218,M,Vijay and his team were patient and willing to help during the entire span of our custom iOS Application development span. I worked with Mehul who is a senior app developer who took the project serious from start to finish. We are excited to work with you all again and want to say thank you for your help in the development of ST.,4.4
219,M,Nice Designer...,5.0
220,,not good,5.0
221,,finished before I could say cabsnapper!,5.0
222,M,"Excellent professional, works fast and answers all the questions that are asked, about the work done, recommended 100%",5.0
223,M,Highly Recommended!!!! Great work.,5.0
224,M,VERY talented! Probably one of the best designers I have ever worked with. Excellent communication. Prompt response. Will definitely work with again.,5.0
225,,always complete project on time and with quality,5.0
226,M,HE's very good. KIND . HELPS YOU OUT IF YOU NEED QUESTiONS,5.0
227,,Awesome and dedicated freelancer with impeccable writing and research skills with fine understanding of ICOs and blockchain technology        - something on this pattern as per  your good judgement.,5.0
228,,Great service,5.0
229,M,"Fast, great communication!",5.0
230,,"Great piece of work, dedication all around.",5.0
231,M,"Good Person 
Hard Working
Professional in his Job!",5.0
232,F,Always on time,4.9
233,M,Awesome as always,5.0
234,M,"Working experience with this team is great. I love the way they are working, communication is great, and finish the complex task on time. I appreciate the working experience and looking forward to hire them again!!!",4.0
235,,Destiny was great to work with.  She understood our needs and quickly made the adjustments we needed.,5.0
236,,Thank you for your great work,5.0
237,F,Amazing skills quick and fast development,2.0
238,F,she is good content writer. before she moves to any task...  she makes sure she get enough knowledge and writes the content. will look forward her again..,5.0
239,M,Thank you.,5.0
240,,Andrew is a talented designer with speedy and creative work!,5.0
241,,Good work but lost in communication for few weeks.,5.0
242,M,Yu works great - on time - will definitely work again,5.0
243,M,"Very skilled programmer, and quick!",5.0
244,,Amazing person to work with. Very hardworking and honest person. Very professional and will always complete the job until you are 100% satisfied. He knows every aspects of Web Programming. A+++++++,5.0
245,M,"Many of his attempts not to do what I wanted, and I gave and what significant things you wanted doesn't match what I wanted.
i'm sorry but i have no time to explain my simple project over and over and get nothing i can use",5.0
246,M,Great attitude. Very patient and prepared to fine tune work until client is completely happy. Thank you!!,4.0
247,M,"Work done in time, good communication.",5.0
248,,Great communication! Thanks Adnan!,4.9
249,M,Excellent job. Would hire again!,5.0
250,,Creative and very professional work. I absolutely would hire again.,5.0
251,M,Very helpful and willing to work with you. Fast turn around.,4.5
252,,good work,5.0
253,M,"A useless individual. !!

After accepting the bid there was the story about how he had a ""house emergency"".  When I later chased him up he used the ""house"" as an excuse for not contact. But, he would get right on it. 

No further communication from him until I chased him up a week later. 
This time - he had been Sick, so nothing was done. 
Then he said he would give me VB example although the project was for Android. 

I wanted to cancel but he ""pleaded"" with me to give him another chance - so I did, my mistake. 
Another week to complete which he promised would be completed and by Sunday 8pm. 

Now I get a message on Sunday saying he has cancelled the job. Now the project is 2 weeks behind and still I have to find a replacement. 
There has been no communication from him saying he will or will not make the deadline, just silence and obvious Disrespect. 

It's up to you if you want to waste your time with this time waster.",5.0
254,M,Jise made a AutoCad model out of a existing Product and it turned out just as it should be. As Always great working with him. I higly recomend.,4.9
255,,They exceeded my expectation. very professional and committed team.,5.0
256,M,"Very easy to work with, he goes above and beyond on every project!",4.5
257,,Just non communicative...,4.2
258,M,professional and quality work.,5.0
259,,Will continue to work with. a+++,5.0
260,M,Amazing work and follow through. I will utilize your services again. Thank you!,5.0
261,,great freelancer,5.0
262,M,"For a 5 lot line map, it was corrected 10 times.    Text was corrected, dimensions were corrected, all from feedback to freelancer that had to be meticulously checked. many revisions    Advertises as civil engineer and then states he is an architect.",5.0
263,M,Thanks. Good freelancer. I will hire him again.,5.0
264,M,Very good communicator and good work,5.0
265,,Muhammad has a good understanding of up to date web trends. Would highly recommend for any conceptual web design work. - thanks again!,5.0
266,M,Amit delivered what we agreed to.,5.0
267,F,"Excellent, really fast to produce the work and make edits.",5.0
268,F,"VERY good job for my instagram profile, each month i am getting new real followers and comments. Hired her for a full time job now.",5.0
269,,"A+++++  Highly recommended. simple awesome, Quality  Service with good communication.",4.9
270,M,Great service. Adel was very patient and understood my needs. I would use him again.,5.0
271,M,Most converted my PSD files to a responsive website. My work was completed on time and even quicker than I expected.  The work exceeded my expectations and was of high quality. I would hire again.,4.9
272,M,great dev!,5.0
273,,"You can't often find such fantastic work on a freelancer site, but the quality is well beyond expections!",5.0
274,M,"I had an excellent experience working with this contractor. I will absolutely be working with him in the future. Very pleasant to work with, very quick and I am very happy with the quality of work that I received from him. Highly recommended!! Thank you for your great work!",5.0
275,F,"she's very professional, she did extra work that i didn't ask for. highly recommended",4.9
276,F,The absolute best designer I have came across. I will order a new project right away. Strongly recommend. AAA+++,5.0
277,F,Perfectly Done,4.4
278,M,Vishal took time to listen to my needs. He executed what I asked and made adjustments when requested. He was extremely patient and professional. I look forward to working with him again in the near future.,4.9
279,M,good coder,1.0
280,,Good to work with him. Good design,5.0
281,,Unfortunately quality of translation is below any reasonable level. Wasted my time here.,5.0
282,,fast turnaround and very reasonable!,5.0
283,,"Dmitry is a very good developer and has great insights and architectural view of things...he delivered a great piece of software and I am satisfied. This project was about a skeleton for constructing robots, and the robots themselves will be built by Dmitry.",5.0
284,M,Excellent,4.9
285,M,Maintenance for website done since 2016,4.7
286,M,A very good gentleman serves all your need. Excellent time management and work deliveries. Will work with Michael again when project comes up.,5.0
287,M,"Amazing work and quick turn around, great in communication and hardworking. Will for sure work with him again, Big thank you",5.0
288,,Great Work will hire again !,5.0
289,,Great,5.0
290,,"Elena is a great developer! Very easy to work with and great communication.
 Thank you.",5.0
291,,"Very professional, informative and genuine. Did an amazing job. offered all the solutions  promptly and to the point. thank for all your hard work. you are simply amazing. keep it up.",5.0
292,M,Great Job as usual. Great and fast communication and excellent work!!,4.9
293,M,Prompt and professional! Will hire again,5.0
294,,New freelancer but very experienced and professional. Super fast and good work.,5.0
295,M,"Chunbo is very professional, hard worker, flexible and delivered a good app according to my requirements. I am very happy with his service and would recommend to anyone looking for AR development.",4.6
296,M,Good work,5.0
297,M,It was very good working with him,5.0
298,M,Great guy. Would definitely use him again!,5.0
299,M,"Great, as usual.  Continue to work with him in the future.",5.0
300,,Great [login to view URL] Responsive!!!!!,4.0
301,F,"Very helpful, provided exactly what I wanted very quickly.",5.0
302,,Very patient developer!,5.0
303,F,"What can I say?  Viola is very easy to work with.  She aims to please.  Everything I wanted was delivered.  Honestly, I am only going to work with Viola for animation from this point forward.  Her work on my kinetic typography was too stellar for things to be any different.  Choose Viola. You can't go wrong there.",5.0
304,M,Cristian is fabulous!!,5.0
305,F,I  like to work with Jessica,5.0
306,M,Generally easy to work with.,3.8
307,,Good job! Would hire again,5.0
308,,Good job done by matt. I got excellent 10 articles on Kakadu region from him.,5.0
309,M,Always provide exceptional quality. I have already hired him for another project.,4.9
310,M,great work and creative,5.0
311,,I would recommend & hire again pretty professional & well skilled knows what to do. This type is 10 out 10 hands down. It's a pleasure to work with you.,4.8
312,M,very professional work.,4.9
313,M,Understood my requirement and swiftly execute the whole project.,4.9
314,,"Good and fast
Saludos",5.0
315,M,He is an excellent worker and work hard but need to be patience. Its second time to work with him I like his style of work and expertise and hand on work  best of luck for the future.,5.0
316,,"Great freelancer, happy to make changes quickly and everything works great",5.0
317,,Very well done happy with everything,4.4
318,M,Sanjeev was very accommodating and finished the job exactly as I needed.,5.0
319,,Logo design undertaken with thought and perfect design first time,5.0
320,M,great to deal with.,4.8
321,,Really good design. The freelancer provides all necesary files. I'll sure work with this freelancer again.,4.0
322,M,Uttam M was great to work with - very quick and professional. I'd certainly hire him again!,4.7
323,,"Excellent person to work with, good quality work, polite and professional. Reworked the gig as many times as needed. Would use again. Highly recommended.",5.0
324,M,This was my first freelancer project.  Mohinder was helpful through the process.  Got the job done.,5.0
325,M,Great work,5.0
326,M,"An excellent Developer to work with. He is such an expert, will understand requirements and will Implement as it is.",5.0
327,F,"I was afraid he can't get me what I want, but he surprised me with his fascinating skills. A+++",5.0
328,M,Not too bad. A bit rude and alot of delay time-wise else effort and delivery was good enough.,4.9
329,M,"Alok did a great job. He speaks good English, is pleasant to deal with and understood my spec quickly. He worked hard to make sure I got what I wanted and that I was happy with it even if I had not made it clear enough for him. I have engaged many developers over the years and can highly recommended him.",5.0
330,M,Ravindra has done good work.,4.7
331,M,I hope to leave a better comment next time when i use his service again. He's good tho.,5.0
332,,Amazing Logos!,5.0
333,,"great job as always brother, thanks",5.0
334,M,"Despite an issue coming up in his personal life, Van was able to deliver high-quality work to us. We enjoyed working with him!",5.0
335,M,Je suis satisfaite de mon site web merci beaucoup Ahmed K,5.0
336,M,Easy to work with.  Knew exactly what needed to be done and got the job done quickly,5.0
337,M,Very impressive,5.0
338,M,"An amazing software developer. If in the rare case he doesn't know something, he will learn it, and do it better than most others could.",3.0
339,F,Quality is good.,5.0
340,,Good job,5.0
341,F,She did good work. Highly recommended :),5.0
342,,"Nothing but great things to say about my experience working with Nei. Thanks a lot! I will definitely hire again.

Mila",5.0
343,M,Definitely hire again. Really knows his job and skills,5.0
344,,"Perfecto, como siempre",5.0
345,,"Fantastic service from start to finish, really impressed. Quality of the work was outstanding and delivered well before the deadline.",4.9
346,,Not the fastest completion but quality is good.,5.0
347,M,Awesome work!,5.0
348,M,"Great Guy to work with....extremely talented and creative.
Will hire again for sure.",5.0
349,,very good excellent worker,4.7
350,M,عمل مميز good work,5.0
351,M,authentic and nice job,5.0
352,M,Great job!,5.0
353,F,"She is great and know how to do her job. I will hire her again...

[07 June, 2018] Manju took my upside down website into professionalism, I am excited with her service, and she deliver on time. Looking forward to work with her again",5.0
354,F,"Jin is a very professional developer!!! She stayed patient throughout the project. She was always willing to make changing according to client requirements. She was very accommodating of all the requests made by the client. She works very efficiently in developing codes. It was an area where she was not her main domain which is Block-chain technology, however, she was willing to do the learning required!! She delivered best outputs just what the client wanted. Really very happy with her work.

Thanks & please hire her if you want the most professional work & on time deliveries!!",5.0
355,M,"Great knowledge, will use again!",5.0
356,,Well done,5.0
357,M,Mohammad is a true expert and delivered the most best work. Will Use him Again!,5.0
358,F,"Excellence work, Thanks !",1.0
359,,"Excellent writer, Will like to hire again. Thanks",5.0
360,F,"Aushi  was on time and deliver what we discuss , she did an excellent work

Sam",4.7
361,M,Great Work Done. Thank you.,5.0
362,,"He is not a good developer , please do not waste your time to this guy.",4.8
363,M,He's a fantastic guy. Creative and original. A++ for his effort and ethics!,5.0
364,M,"I had a great collaboration with Ranjit, i`m looking forward for a new collaboration either on this project or a new one, many thanks mate!",5.0
365,,Did a good job!,5.0
366,F,Great work and good communication. I would definitely work with Palak again.,5.0
367,,great guy went the extra mile,5.0
368,,Delivered what was asked in great time.,5.0
369,M,Can never disappoint on quality he delivered exemplary quality i highly recommend him.,5.0
370,M,Proffesional.,5.0
371,M,Valentin has great knowledge of his work. Easy to work with and the project was delivered on time ! Good value.,4.9
372,M,Did a fantastic job and communication is excellent. Will hire him again,5.0
373,F,thanks,5.0
374,F,Good job Mansi ...keep up the good work . Appreciate your patience and suggestions which definitely enhanced my product .,3.0
375,,Amazing work.. Always a pleasure working with these guys.,5.0
376,,great,5.0
377,,Scarlet does a good job. is quick en easy to work with!,5.0
378,M,He has a good knowledge and experience,5.0
379,M,"We gave the work to Shailendra looking at the past reviews, The work was straight forward to slice 3 PSDs and provide a bootstrap based theme. The project quite longer and it became really difficult to explain what was expected even though it was clearly mentioned. The work quality was really bad and casual.  We have a lot of work and sadly will have to look for another person who can take the work seriously and deliver on time",1.0
380,,work very efficiently and professionally with patience. Hope to work again in the future!,4.9
381,,The project is not completed according to the dispute,5.0
382,,good job,5.0
383,,Great stuff,5.0
384,M,"Sanjeev delivered in 1 hour, thanks for that, will be surely contacting for my upcoming projects!!!",5.0
385,,Very reliable editor! Thanks so much!,5.0
386,F,"Gialina was very quick in delivery and delivered exactly what I requested, Quality work at reasonable pricing.",4.9
387,,Good designer,4.8
388,F,"Super Experience with this Freelancer

THANK YOU!!!",5.0
389,,Super fast and super efficient delivery,5.0
390,,"Great Work, and surely, we will work together again soon,",4.7
391,M,Awesome to work with.. great stuff,5.0
392,,Will work with again!,4.0
393,,He is very good,4.8
394,,Good communication and excellent work. Will back to you soon,5.0
395,,"Super smart and hard working programmer.  more than just a good programmer, thinks strategically about the project",5.0
396,M,Professional Writer,5.0
397,,Good Professional,4.4
398,M,"i highly recommend Naseeb A. for SEO, Google ranking, palystore ranking jobs.. it was a great experiences for me to work with him. He always maintain good communication with us and done marvelous work to archive my expectations .  i will again hire him soon for my future projects as well.  Thanx :)",3.6
399,M,Thumbs up for this guy! Very professional!,4.6
400,M,Always a pleasure working with Meesum.,5.0
401,M,It was great working with him,5.0
402,M,The project is not completed according to the dispute,5.0
403,,Great working with Panameralab again! Talented designs and very quick turnaround!,5.0
404,M,Sourav has been a pleasure to work with!! I'll definitely use him over and over again for the efficiency and the quality of his work!,5.0
405,M,"Provided me with a great logo, but unfortunately I discovered it was remarkably close someone elses logo and I had to heavily modify it as they refused to rework it.  Additionally, I had to have an actual vector created as they had supplied with something in draft that was not a final product.   I would not recommend this provider unfortunately.",4.4
406,F,"Sushma has been excellent to work with, she has made my second project with [login to view URL] a pleasant one.
Highly recommended, will definitely work with Sushma again.",5.0
407,M,"I had to hire a different programmer to fix his work on 1 project , then on another he didn't do it at all.",4.6
408,M,Responsive and good skilled freelancer. He knows his job well. Keep going bro. Recommended,5.0
